47,11636536907048392,43075,4386,135,5854646,12118836,-1518,9881,226,1786,9789,988
54,11636536979542334,7950,11566,548,3574005,11470047,-9245,3799,-282,9734,1810,-1401
75,11636537074158658,26977,6565,430,5487340,11381786,-5722,7794,-2549,2096,6617,-7198
38,11636537204486417,10756,16147,-131,1597610,18430057,-8668,-2432,-4352,5773,-7712,-2680
4,11636537255977335,-5310,-31469,33,566890,7285906,-1524,-9857,710,148,-7718,6355
10,11636537358006868,-8673,18605,66,86673,6756318,5791,-4769,-6610,5920,-8058,-26
8,11636537375311396,9682,9685,-114,1977138,20516360,-9557,2859,689,8808,-4725,269
74,11636537581156514,15607,2649,-289,101658,1041388,-1950,8559,4788,-3219,1171,9394
28,11636537730138460,19566,17799,-222,4869193,5476796,-8581,4736,1979,3121,4858,8164
4,11636537744021787,-5311,-31469,33,557085,6580824,-1535,-9861,632,388,-7319,6802
10,11636537886003765,-8672,18605,66,84548,7072208,7298,-4777,-4889,6856,-7267,420
8,11636537887307540,9681,9686,-115,1969471,20273595,-9557,2871,636,8845,-4660,188
106,11636537945416211,18117,4230,321,3392654,6609628,1421,9838,-1085,5827,7575,-2943
58,11636538048454336,10056,9245,-231,651173,25151302,-5414,-7889,-2904,7248,-6844,-779
62,11636538227343285,22975,31084,136,250512,2348124,-7518,-3880,5330,-7101,5338,4589
4,11636538232066210,-5311,-31469,33,541420,5883303,-1853,-9793,801,-1367,-6198,7726
8,11636538399303444,9680,9686,-113,2032618,14889824,-9459,3086,998,9456,-3009,1232
10,11636538414000636,-8673,18606,67,35023,3736596,9183,-2151,-3321,6392,-7354,2248
67,11636538474359492,13054,10774,646,2179991,17122184,-9757,2061,737,9900,-1390,224
69,11636538718700844,11026,15931,564,3933748,18154638,-9962,736,450,-9883,1508,-207
4,11636538720110881,-5311,-31469,34,534427,5423118,-1481,-9870,612,1621,-5887,7918
59,11636538848815598,19698,17268,709,1089581,8624043,-8991,-318,-4364,-8002,-5900,-1073
23,11636538898469830,22402,6471,307,2432543,19550429,-7353,6694,-1056,7204,-6891,-771
8,11636538911299250,9679,9687,-113,2079756,11146261,-9420,3179,1068,9636,-1793,1981
10,11636538941997844,-8673,18606,70,100950,2844759,-352,4248,9045,-787,2945,9523
44,11636539081199731,27398,6750,-439,1029732,6519501,-6883,7242,412,-3607,4662,8077
4,11636539208155331,-5311,-31470,33,552487,5184964,-1473,-9888,-196,1386,-7203,6796
71,11636539225239320,15265,17322,417,462607,22250671,-6671,2254,-7100,-6853,-7209,-1024
63,11636539233485570,40275,8867,50,2426106,19119592,-3563,8113,-4633,1152,-9823,-1472
97,11636539422767246,25359,-27541,50,306810,2546256,2180,-8246,5218,3834,-8766,2907
8,11636539423295476,9679,9687,-114,2065167,11759096,-9420,3189,1041,9668,-1838,1769
10,11636539469994783,-8673,18606,70,110587,3188229,-24,4828,8756,226,4776,8782
61,11636539536030447,23522,30855,338,196739,1711375,4370,-8613,-2589,-3449,-8140,-4672
19,11636539579625803,16136,-6510,782,2465751,6638094,-8517,5233,244,7216,6696,-1755
13,11636539632898089,25246,-27279,286,98433,2028285,6172,6488,-4449,6667,7441,-409
4,11636539696200088,-5312,-31470,33,582612,7579191,-2707,-9617,-418,-6713,-6022,4319
24,11636539791522565,22918,6551,-106,3722023,31343703,-7068,6630,2465,-8027,5570,2126
105,11636539848347727,17914,3988,189,135498,1553952,5707,7852,2399,-1780,-4741,8622
8,11636539935291302,9678,9688,-114,2056216,12271604,-9394,3215,1185,9670,-1389,2131
10,11636539997991350,-8673,18606,71,133156,5265814,3589,3643,8593,7715,2442,5873
40,11636540122082035,15403,17882,19,3266696,1347373,5762,8167,300,-5297,6784,-5090
4,11636540184244585,-5312,-31470,32,594142,6624106,-2299,-9696,-827,-4923,-7573,4289
16,11636540301479303,43268,4681,172,1032741,18002584,-3060,7322,-6084,1901,-9801,560
68,11636540374595341,13606,11273,-268,657302,7879971,-7650,-3036,-5678,4579,-8776,-1411
8,11636540447287384,9677,9688,-117,2000783,15069503,-9505,3025,705,9118,-4075,493
10,11636540525988405,-8673,18606,70,106981,4434041,3988,1435,9057,7485,-2427,6170
14,11636540607344183,25678,-27090,-301,107421,1105223,5995,3690,-7101,6048,7540,-2559
4,11636540672289019,-5312,-31470,34,580076,7124664,-1050,-9942,218,3657,-7599,5373
52,11636540880117830,16258,-6261,-299,458309,3090784,71,5045,-8633,4228,2683,-8655
8,11636540959283511,9677,9688,-120,1933314,20237074,-9614,2737,258,8149,-5775,-465
